N1C1L1,N1C1L2,N1C1L3,N1C2L1,N1C2L2,N1C2L3,N2C1L1,N2C1L2,N2C1L3,N2C2L1,N2C2L2,N2C2L3
0.323845212,0.488793675,0.22631327,0.36261352,0.126599164,0.217590208,0.401976128,0.267069424,0.406486281,0.318474008,0.271628652,0.100171757
0.388113784,0.463860988,0.320153173,0.416281677,0.162250147,0.414632913,0.438149304,0.314939152,0.280812294,0.160552469,0.422579154,0.4211225
0.209317479,0.276980546,0.116074693,0.405495417,0.258651039,0.353025392,0.204777562,0.330685243,0.178243199,0.348114655,0.363353385,0.479031091
0.258871002,0.136047823,0.242125239,0.314753215,0.400555767,0.231583908,0.442673637,0.198960302,0.24294905,0.309983235,0.13363977,0.358549407
0.154141089,0.151006836,0.183294048,0.33172573,0.342067904,0.3597113,0.385200315,0.245604535,0.206767596,0.150569487,0.218681512,0.227895028
0.222681371,0.287712179,0.078048245,0.088609451,0.086817467,0.160660103,0.256787512,0.22877117,0.210329782,0.182146387,0.110275953,0.192389914
0.501724808,0.29114125,0.210059402,0.235876864,0.239473362,0.297963707,0.172459011,0.333039702,0.334974138,0.305913541,0.284592355,0.342858803
0.157764528,0.305316807,0.119453529,0.339875022,0.522195596,0.273990841,0.157005367,0.24199872,0.163531996,0.358921817,0.289391677,0.329898675
0.299451083,0.230081676,0.318478281,0.150944856,0.328389211,0.273550092,0.357940652,0.26306686,0.101733024,0.202025635,0.130534287,0.131484385
0.343734218,0.335172518,0.346436668,0.199068339,0.307403825,0.26584826,0.458096664,0.268424007,0.432474601,0.39795627,0.281936271,0.175920253
0.359251406,0.187840658,0.220158426,0.308979912,0.176864903,0.232288019,0.207002688,0.16148537,0.042920305,0.190308665,0.196518593,0.173876799
0.455383614,0.528868589,0.386371824,0.242815677,0.378448226,0.365517802,0.337753054,0.47880947,0.43383326,0.317680457,0.296872941,0.502906874
0.16166235,0.496568535,0.27536699,0.420079821,0.142333279,0.170475471,0.344864295,0.294920582,0.129374398,0.21824764,0.201894068,0.272765092
0.139292294,0.335264352,0.066324389,0.202641466,0.132930814,0.209206028,0.1418222,0.139888345,0.086670231,0.152585012,0.069008215,0.082406334
0.456696715,0.434091878,0.35826372,0.420378329,0.358197513,0.17794512,0.447086154,0.280408232,0.523729066,0.336929672,0.284966821,0.355609591
0.600954209,0.559061688,0.494342775,0.461791184,0.335410147,0.415623065,0.444947766,0.531634024,0.521818648,0.577156646,0.299567248,0.339358966